file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180418-0102,102,TU20180418-02,340.0,9.0,100,24.4,SS_304,M,2510,365.0,7.5,0.0018320156923369304,0.282347947807162,0.00036545601109388775,-2.8579497693240983,0.1994830135039454,-3.1402977171312605,-37.678224542042685,-28.66593863278192
20180418-0102,102,TU20180418-02,340.0,9.0,100,24.4,SS_304,M,2510,365.0,7.5,0.0018320471757348805,0.2822453984880576,0.00036544445327788726,-2.858055152589938,0.19947327673551754,-3.140300551077995,-37.73652571294841,-28.63963816547531
20180418-0103,103,TU20180418-02,340.0,7.5,100,24.4,SS_304,M,2510,365.0,7.5,0.0017429274252340925,0.27270507437807756,0.0002487306500361246,-2.890202285269478,0.14270855253925308,3.120277947532031,-37.28929945896011,-30.474123182749054
20180418-0103,103,TU20180418-02,340.0,7.5,100,24.4,SS_304,M,2510,365.0,7.5,0.001742846055940332,0.27261133545657656,0.00024873976524123696,-2.890303857754184,0.14272044532758937,3.120270113968826,-37.30976426983923,-30.491182121419058
20180418-0104,104,TU20180418-02,340.0,6.0,100,24.4,SS_304,M,2510,365.0,7.5,0.001491952924837441,0.2492360521063476,0.0001731325278371946,-2.9437626061700484,0.1160442296502476,3.0901866489031904,-34.74743872275522,-34.899790387358635
20180418-0104,104,TU20180418-02,340.0,6.0,100,24.4,SS_304,M,2510,365.0,7.5,0.0014918866470308972,0.24895961992670265,0.0001730906583442477,-2.9442226072713766,0.11602132017786132,3.090003079981507,-34.74949327724791,-34.936866253718996
20180418-0105,105,TU20180418-02,340.0,4.5,100,24.4,SS_304,M,2510,365.0,7.5,0.0010651254866489216,0.18645646089495085,0.00012085895072349403,-3.0262677869879018,0.11346921300675876,3.0704610592967336,-32.28376901472977,-37.61450511067273
20180418-0105,105,TU20180418-02,340.0,4.5,100,24.4,SS_304,M,2510,365.0,7.5,0.0010651414734154,0.1867318669748464,0.00012086477877818719,-3.0263435265598253,0.1134729815661309,3.070109913644915,-32.28858207049592,-37.61836131268308
20180418-0106,106,TU20180418-02,356.0,12.0,100,24.8,SS_304,M,2510,365.0,7.5,0.0015856679375113264,0.2580147246204218,0.0005243210345606224,-2.890552934853731,0.33066256948067807,3.1346176477054337,-35.09059434416716,-32.066610560050755
20180418-0106,106,TU20180418-02,356.0,12.0,100,24.8,SS_304,M,2510,365.0,7.5,0.0015855176137021915,0.2578705162065312,0.0005242667748718083,-2.8908536003082075,0.3306596977170395,3.134461190664848,-35.08188113519959,-32.05164231890012
20180418-0107,107,TU20180418-02,356.0,9.0,100,24.8,SS_304,M,2510,365.0,7.5,0.0014837242016527657,0.21042048120813325,0.0002999142217995345,-2.9331299622682376,0.2021360987880705,3.1396348637032157,-39.25876721143676,-30.708670073596153
20180418-0107,107,TU20180418-02,356.0,9.0,100,24.8,SS_304,M,2510,365.0,7.5,0.001483398540908476,0.21021070344710702,0.0002998369671729635,-2.933352747908356,0.20212839564297713,3.1396218558241236,-39.27311906166036,-30.70675550155997
20180418-0108,108,TU20180418-02,356.0,7.5,100,24.8,SS_304,M,2510,365.0,7.5,0.0015624626224520902,0.22356400600272522,0.00022357319232343045,-2.9372307784852962,0.14309026603949104,3.1223905226915654,-38.215847685910205,-30.78819213409662
20180418-0108,108,TU20180418-02,356.0,7.5,100,24.8,SS_304,M,2510,365.0,7.5,0.0015625339822523587,0.2233653858157981,0.00022359105550053042,-2.9373034514719962,0.14309516339492906,3.1225164698917918,-38.17762431334088,-30.81126135276869
20180418-0109,109,TU20180418-02,356.0,6.0,100,24.8,SS_304,M,2510,365.0,7.5,0.0014190771650655248,0.22308821495813316,0.0001683508646866778,-2.966149417516182,0.11863404530147896,3.093947674705271,-35.457906871917125,-34.53606450852683
